"DeerID","FirstName","LastName","Processor","County_of_Harvest","Harvest_Season","Zone","Sex","Age","Antler_Characteristics","Comments","DMU"
"CB3Yh","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"4QMSH","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"Vq2uq","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"NJYff","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"EvmPR","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"jyLMH","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"6UTAb","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"7eO6t","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"AYJmM","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"nVq6X","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"KBBSE","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"mIYWh","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"b9cIX","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"Gm7ni","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"snYZX","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"U7rAY","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"748Y1","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"dRTB3","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"lQ99G","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
"5Bcj8","Beth","Wojcik","Test - Remove","Dane","Archery","Farmland","Male","Age_4-5","Forked",NA,"Dane Farmland"
